artifact_id,text,evidence_type,timestamp,gold_controls,gold_rationale
32,NTP service on domain controller 'dc-02' is unreachable; host time has drifted by over 5 minutes.,log,2025-09-21T13:10:00Z,AU-8,Time synchronization failure on a critical server impacts the reliability of audit logs.
33,The organization's defined golden image for Linux servers was last updated 18 months ago.,config,2025-09-21T15:00:00Z,CM-2,The baseline configuration for a key system component is outdated and not being maintained.
34,A security exception was granted for the legacy billing system to use an account with a non-expiring password.,ticket,2025-09-21T16:30:00Z,IA-5,Authenticator management policy was waived for a specific system component via an exception process.
35,IDS alert fired for signature 'ETPRO TROJAN DoublePulsar Ping Back'; source IP is an internal workstation.,log,2025-09-22T02:45:10Z,SI-4,System monitoring detected network traffic patterns indicative of a known malware infection.
36,VPN access was provisioned for new employee 'c.davis' using their personal; non-MFA enabled account.,ticket,2025-09-22T09:15:00Z,AC-17;IA-2,Remote access was granted without requiring a unique; multi-factor authenticator.
37,The asset inventory CSV file is missing entries for all virtual machines created in the last quarter.,config,2025-09-22T11:00:00Z,CM-8,The system component inventory is incomplete and does not reflect the current environment.
38,FIM tool reports that permissions on /var/log/secure were changed to be world-writable on 'bastion-host-01'.,log,2025-09-22T14:21:00Z,SI-7,An unauthorized change to a critical log file's integrity and confidentiality protections was detected.
39,A junior administrator was found to have global administrator privileges in the cloud environment.,ticket,2025-09-22T15:00:00Z,AC-6,The principle of least privilege was violated by assigning excessive permissions.
40,The main corporate guest Wi-Fi network is configured as an open network with no encryption; it only uses a captive portal.,config,2025-09-22T16:10:00Z,AC-18,Wireless access does not enforce cryptographic protection for communications.
41,Audit log from database 'prod-db-1' shows 500+ failed queries from a web server; the source user is not recorded.,log,2025-09-23T05:30:00Z,AU-3,Audit records are missing key content needed for event analysis.
42,Quarterly review of firewall rules was completed; report attached to ticket ACL-Q3-REVIEW.,ticket,2025-09-23T10:00:00Z,SC-7,Boundary protection settings are being periodically reviewed as required by policy.
43,The primary SIEM has stopped receiving logs from the web application firewall cluster.,log,2025-09-23T11:15:00Z,AU-12,A critical system component has stopped generating and transmitting audit records.
44,Incident report IR-2025-046 details the timeline of a data exposure event; from detection to remediation.,ticket,2025-09-23T14:00:00Z,IR-4;IR-5,An incident was handled and documented; this contributes to incident monitoring data.
45,The anti-malware policy for endpoint devices has signature updates configured to run once per week.,config,2025-09-23T16:00:00Z,SI-3,Malicious code protection mechanisms are not being updated at a sufficient frequency.
46,Traffic rate-limiting on the external load balancer was disabled for a performance test and not re-enabled.,log,2025-09-24T09:05:00Z,SC-5,Denial-of-service protections have been deactivated; this leaves a critical ingress point vulnerable.
47,Backup job for 'file-server-03' has been failing for 6 consecutive days; no successful backup is available.,ticket,2025-09-24T10:20:00Z,CP-9,Information system backups are not being successfully completed; this jeopardizes recovery capabilities.
48,The log export shows enabled auditable event types for application 'payroll-api' do not include 'user-role-modification'.,log,2025-09-24T14:40:00Z,AU-2,The system is not configured to log all necessary security-relevant events.
49,Object store bucket 'financial-docs' has server-side encryption enabled with a customer-managed key.,config,2025-09-24T16:30:00Z,SC-28;SC-12,Information is protected at rest using appropriate encryption and key management.
50,User 'svc-reporting' failed login 9 times in 5 minutes; the account was not locked out.,log,2025-09-25T08:12:00Z,AC-7;AU-6,Failed login attempts exceeded the threshold without triggering a lockout; this requires review.
51,Load balancer listener policy specifies TLS 1.2 with cipher suite TLS_AES_256_GCM_SHA384.,config,2025-09-25T09:27:11Z,SC-8;SC-13,A strong; approved cryptographic protocol and cipher are used for data in transit.
52,CHG-9011: Approved change to deploy new version of SSO service; successful DAST scan results were attached.,ticket,2025-09-25T11:47:30Z,CM-3;SA-11,A change was properly approved and included validation from developer security testing.
53,Vulnerability scan identified that 15 workstations are missing the critical patch for CVE-2025-7788.,log,2025-09-25T14:03:55Z,RA-5;SI-2,Vulnerability scanning has identified multiple systems that require flaw remediation.
54,The password policy for standard users requires a minimum length of 8 characters and no complexity.,config,2025-09-25T15:00:00Z,IA-5,Authenticator management settings are not configured to enforce required complexity.
55,User account for 'r.gonzales' was created and granted access based on an approval email from their manager.,ticket,2025-09-25T16:00:00Z,AC-2,An account management task was completed with documented authorization.
56,Time source for ESXi host 'esx-04' is misconfigured; this causes a 45-minute time skew on guest VMs.,log,2025-09-25T18:00:00Z,AU-8,Timestamp integrity is compromised due to a failure in time synchronization.
57,Server 'dev-db-01' has a baseline configuration that includes multiple unnecessary developer tools and open ports.,config,2025-09-26T09:00:00Z,CM-2,The documented baseline configuration for a system type is not secure.
58,Audit review shows administrator 'k.chen' accessed sensitive customer data tables without an associated ticket.,log,2025-09-26T10:30:00Z,AU-6,Audit log analysis revealed a potential violation of authorized access.
59,A new subnet was provisioned in the cloud environment but no firewall or network ACL was associated with it.,config,2025-09-26T11:45:00Z,SC-7,A network boundary protection mechanism was not implemented for a new system environment.
60,IR-2025-047: Phishing email reported by user; incident response team is analyzing the attachment in a sandbox.,ticket,2025-09-26T13:00:00Z,IR-4,An incident has been reported and is undergoing the initial analysis phase.
61,FIM alert: MD5 hash of /bin/login changed on server 'auth-02'; the update does not correspond to a scheduled patch.,log,2025-09-26T15:10:00Z,SI-7;CM-6,A core system binary was modified; indicating a potential integrity breach and configuration drift.
62,Quarterly access review identified 12 accounts with privileged access that is no longer required for their roles.,ticket,2025-09-26T16:00:00Z,AC-2;AC-6,An account management review process is in place to enforce least privilege.
63,The 'production' environment security group allows unrestricted inbound traffic from the 'development' environment.,config,2025-09-26T17:00:00Z,SC-7,Boundary protection controls between different operational environments are insufficient.
64,The application audit log is unreadable due to improper formatting; event correlation is impossible.,log,2025-09-27T08:00:00Z,AU-3,Audit records are not generated with the content required for analysis.
65,MFA is not enforced for administrative access to the primary cloud console; username/password is sufficient.,config,2025-09-27T09:30:00Z,IA-2,Identification and authentication for privileged users does not require multi-factor authentication.
66,The weekly full backup of the main document repository completed successfully.,log,2025-09-27T10:00:00Z,CP-9,Information system backup procedures are being executed successfully.
67,Web server 'www-05' is running an operating system version that reached end-of-life 6 months ago.,config,2025-09-27T11:00:00Z,CM-6;SI-2,The system is using an insecure configuration and has un-remediated flaws.
68,EDR blocked an attempt by Microsoft Word to launch powershell.exe; this prevented a potential fileless malware attack.,log,2025-09-27T12:45:00Z,SI-3;SI-4,Malicious code protection and system monitoring tools successfully prevented an attack.
69,The incident response team documented lessons learned from the recent malware outbreak in ticket IR-2025-047-LL.,ticket,2025-09-27T14:00:00Z,IR-5,Incident monitoring includes tracking and documenting response effectiveness for future improvement.
70,The corporate wireless network allows peer-to-peer communication between client devices.,config,2025-09-27T15:30:00Z,AC-18,Wireless access controls do not sufficiently segment and isolate connected devices.
71,A request to open port 8080 on the external firewall to a new server was denied due to lack of justification.,ticket,2025-09-27T16:45:00Z,CM-3,A configuration change request was properly evaluated and denied based on security policy.
72,A privileged user successfully authenticated to the core router via a direct console connection.,log,2025-09-28T09:00:00Z,AC-17,Remote access (including console) is being logged and monitored as required.
73,The official component inventory spreadsheet lists 45 servers; but a network scan reveals 52 active IPs.,config,2025-09-28T10:15:00Z,CM-8,The system component inventory is inaccurate; with several undocumented assets present.
74,IDS logs show a high volume of DNS queries for a known command-and-control domain from an internal host.,log,2025-09-28T11:30:00Z,SI-4,System monitoring has detected network patterns indicative of a system compromise.
75,As part of a user transfer; 'j.smith' was moved from the 'Sales' role to the 'Marketing' role and privileges were updated.,ticket,2025-09-28T14:00:00Z,AC-6,User access privileges were modified to align with a change in job responsibilities.
76,The load balancer is configured to accept inbound connections over HTTP without redirecting to HTTPS.,config,2025-09-28T15:00:00Z,SC-8,Transmission confidentiality is not enforced for all connections.
77,The volume of audit logs from the database cluster exceeded the SIEM's ingestion limit; causing logs to be dropped.,log,2025-09-28T17:00:00Z,AU-12,The system is failing to ensure all generated audit records are available for review.
78,A network DDoS event was automatically mitigated by the cloud provider's protection service; no downtime occurred.,ticket,2025-09-28T18:30:00Z,SC-5,Denial-of-service protections successfully defended against an attack.
79,Audit log review shows that the audit service on 'app-01' was disabled for 3 hours during a maintenance window.,log,2025-09-29T04:00:00Z,AU-2,The required auditable events were not recorded for a period of time.
80,A restore test of a single file from the main file server backup was successfully completed in under 15 minutes.,ticket,2025-09-29T10:30:00Z,CP-9,Information system backup and restoration capabilities have been successfully tested.
81,The SSH daemon configuration on all Linux servers allows the use of HMAC-MD5 for message authentication.,config,2025-09-29T11:00:00Z,SC-13,A non-approved; weak cryptographic algorithm is permitted for use in a security function.
82,File integrity check on 'web-prod-01' confirmed that all monitored files match the known-good baseline.,log,2025-09-29T12:00:00Z,SI-7,Information integrity verification has confirmed no unauthorized changes to critical files.
83,Emergency change CHG-9100 was performed on the primary database to fix a performance issue; change was documented post-facto.,ticket,2025-09-29T14:15:00Z,CM-3,An emergency change was made and documented through the change control process.
84,The baseline configuration for workstations does not include enabling the host-based firewall.,config,2025-09-29T15:30:00Z,CM-6,Secure configuration settings are not being enforced on endpoint devices.
85,Anti-malware software is disabled on server 'util-01' and has not been running for 10 days.,log,2025-09-29T16:00:00Z,SI-3,Malicious code protection mechanisms are not active on a system component.
86,The primary KMS key used for encrypting database backups has not been rotated in over 3 years; this exceeds policy.,config,2025-09-30T09:00:00Z,SC-12,Cryptographic key management procedures for key rotation are not being followed.
87,Patch for critical vulnerability CVE-2025-6543 was applied to all affected servers within the 7-day SLA.,ticket,2025-09-30T10:00:00Z,SI-2,A required flaw remediation was completed within the defined policy timeframe.
88,A single IP address made 1;500 connection attempts to the external API in one minute before being blocked.,log,2025-09-30T11:25:00Z,SC-5,Denial-of-service protections automatically blocked an abusive source IP address.
89,The SSL certificate for the external website vpn.example.com expired yesterday; causing user connection issues.,config,2025-09-30T13:00:00Z,IA-5;SC-8,Authenticator (certificate) lifecycle management failed; impacting transmission confidentiality.
90,An application exception log showed a user successfully accessed customer records by passing a manipulated ID in the URL.,log,2025-09-30T14:30:00Z,SA-11,The application is vulnerable to an insecure direct object reference; indicating a lack of secure coding practices.
91,Access for terminated employee 'd.miller' was revoked from all systems within 1 hour of notification.,ticket,2025-09-30T15:00:00Z,AC-2,Account management procedures for timely de-provisioning were followed correctly.
92,The password for the local administrator account on a golden image is set to a default; well-known value.,config,2025-09-30T16:00:00Z,CM-2,The baseline configuration for a system image is insecure by design.
93,Security log shows successful MFA authentication for administrator 'e.king' to the cloud console from a new geographic location.,log,2025-09-30T17:00:00Z,IA-2,Multi-factor authentication is successfully being enforced for organizational users.
94,The build pipeline is configured to fail if any static analysis (SAST) check finds a high-severity vulnerability.,config,2025-09-30T18:00:00Z,SA-11,Developer security testing is integrated and enforced within the development lifecycle.
95,An unknown wireless access point was detected broadcasting in the corporate office; connected to an active network port.,ticket,2025-10-01T09:30:00Z,AC-18;SI-4,System monitoring detected a rogue wireless access point; an unauthorized system component.
96,The content of an audit log for a failed login attempt does not include the source IP address of the attempt.,log,2025-10-01T10:15:00Z,AU-3,Audit records for a critical security event are missing necessary contextual information.
97,The asset inventory database was successfully updated via the automated discovery scan script.,config,2025-10-01T11:00:00Z,CM-8,The system component inventory is being actively maintained and updated.
98,The on-call engineer was paged for a high CPU alert on the database; which was investigated and closed as a non-security incident.,ticket,2025-10-01T12:45:00Z,IR-4,An event was detected; analyzed; and determined not to be a security incident.
99,Audit log review of remote access shows a successful VPN connection from a country where the company has no employees.,log,2025-10-01T14:00:00Z,AU-6;AC-17,Audit log analysis revealed suspicious remote access activity that requires investigation.
100,Audit review shows that security log retention for web servers is set to 30 days; policy requires 90 days.,log,2025-10-01T15:30:00Z,AU-6,Regular audit review and analysis found a deviation from policy requirements.
101,"Security monitoring detected a brute-force attempt against user 'svc-api-gateway' with 45 failed login attempts in 2 minutes from external IP 192.0.2.55. The account successfully locked out after the 5th attempt, but the attack continued for another 5 minutes before ceasing.",log,2025-10-02T08:15:22Z,AC-7;SC-5,Account lockout functioned correctly during a brute-force attack which also indicates a potential DoS attempt.
102,"The weekly configuration compliance scan for AWS account 123456789 indicates that S3 bucket 'finance-archive-v2' does not have default encryption enabled. Furthermore, there is no bucket policy restricting unencrypted PutObject requests from standard IAM users.",config,2025-10-02T10:30:00Z,SC-28,Data at rest is not encrypted by default violating the established storage security policy.
103,Ticket INC-8872 has been opened to track the manual installation of emergency patch KB505599 on critical database clusters that cannot be patched via the automated window. The patch must be applied within 24 hours to mitigate CVE-2025-0091.,ticket,2025-10-02T13:45:00Z,SI-2,Flaw remediation is being manually managed and tracked for critical systems outside standard windows.
104,"Application logs for the 'customer-portal' service show that during the period of 02:00 to 04:00 UTC, all user transaction events were recorded with a null value in the 'UserID' field. This gap prevents effective attribution of those transactions to specific user accounts.",log,2025-10-02T16:20:11Z,AU-3,Audit records are incomplete and lack the necessary information to identify the acting user.
105,A review of the firewall ruleset on 'core-fw-01' reveals an 'ANY/ANY' allow rule at the bottom of the internal interface policy. This configuration could potentially allow unrestricted lateral movement if traffic does not match preceding specific rules.,config,2025-10-03T09:05:45Z,SC-7,Boundary protection is weakened by an overly permissive fallback rule in the firewall configuration.
106,"The daily inventory synchronization job failed to update the CMDB with data from the vCenter discovery source. As a result, 14 new virtual machines provisioned yesterday are currently missing from the central asset registry.",log,2025-10-03T11:15:00Z,CM-8,The system component inventory is temporarily inaccurate due to a synchronization failure.
107,Change Request CR-4991 for promoting the new billing microservice was approved by the CAB. The approval note confirms that all required unit tests and the dedicated DAST security scan passed with zero critical or high findings.,ticket,2025-10-03T14:30:20Z,CM-3;SA-11,Configuration change was authorized after verifying that required security testing was successfully completed.
108,Alert from host 'monitor-01': The local NTP time source is unreachable and the system clock has drifted by 94 seconds. This drift exceeds the maximum allowable threshold of 60 seconds for members of the authentication cluster.,log,2025-10-04T03:22:10Z,AU-8,Time synchronization failure has caused a significant clock drift that impacts log integrity.
109,The Active Directory password policy currently applied to the 'Service Accounts' Organizational Unit does not enforce a minimum password age or history requirement. This allows managed service accounts to rapidly cycle passwords to re-use old values.,config,2025-10-04T09:55:00Z,IA-5,Authenticator management policy is missing required controls for password history and rotation frequency.
110,Incident IR-2025-060: A user reported unusual pop-ups on their dedicated VDI instance. The Incident Response team has isolated the VDI session and is currently capturing memory for forensic analysis to determine the root cause.,ticket,2025-10-04T12:40:00Z,IR-4,An incident report led to immediate containment and analysis actions by the response team.
111,"Network sensors detected a massive spike in UDP traffic targeting port 53 on the external DNS resolvers, reaching 5 Gbps. The upstream DDoS mitigation provider automatically scrubbed the traffic, keeping service latency within normal parameters.",log,2025-10-05T01:15:33Z,SC-5,Denial-of-service protection mechanisms successfully mitigated a high-volume network attack.
112,The baseline configuration template for new 'Ubuntu 24.04' web servers still includes the 'telnet' and 'ftp' packages in the installation list. These insecure protocols should be removed and replaced with SSH and SFTP respectively.,config,2025-10-05T11:00:00Z,CM-2;SC-8,The secure baseline configuration incorrectly includes insecure protocols that lack transmission confidentiality.
113,A scheduled restore test of the 'marketing-assets' share failed because the backup tape from two weeks ago was unreadable. The backup software reported 'Media Error' during the verification phase of the restoration job.,ticket,2025-10-06T09:20:15Z,CP-9,Information system backup media failed a restoration test indicating potential data loss risks.
114,System logs from 'jumpbox-03' show that the audit logging daemon (auditd) was manually stopped by user 'root' at 23:45 UTC and restarted at 00:15 UTC. No logs were generated during this 30-minute window.,log,2025-10-06T10:45:00Z,AU-12;AU-6,Audit generation was intentionally disabled by a privileged user creating a blind spot requiring investigation.
115,Configuration analysis of the corporate VPN profile shows that it supports legacy IKEv1 aggressive mode. This protocol is vulnerable to pre-shared key cracking and should be upgraded to IKEv2 with certificate-based authentication immediately.,config,2025-10-06T14:10:55Z,SC-13;IA-2,Remote access configuration uses outdated cryptographic protocols and weak authentication methods.
116,"During a routine access review, it was discovered that three developers retained 'write' access to the production database after their rotation ended. Their permissions have been revoked and a ticket has been filed to automate this removal in the future.",ticket,2025-10-07T08:30:00Z,AC-6;AC-2,Manual access review identified and corrected violations of least privilege.
117,EDR agent on workstation 'fin-wks-99' terminated process 'unknown.exe' which attempted to inject code into 'lsass.exe'. The hash of the blocked executable was unknown to standard reputation services.,log,2025-10-07T10:12:44Z,SI-4;SI-3,System monitoring and malicious code protection successfully blocked a suspicious process injection attempt.
118,The master encryption key (CMK-8829) used for the Human Resources document repository has passed its 365-day intended lifespan without rotation. The key management system sent an overdue rotation alert to the security team.,config,2025-10-07T13:00:00Z,SC-12,Cryptographic key management policy for regular rotation is not being followed.
119,"Vulnerability scan completed for subnet 10.20.5.0/24. Results indicate that 12 Linux hosts are missing security updates for 'openssl' that were released last month, categorized as High severity (CVSS 8.1).",log,2025-10-07T15:45:22Z,RA-5;SI-2,Vulnerability scanning identified multiple hosts requiring patch remediation for a high-severity flaw.
120,A request for a permanent exception to the MFA policy for the 'legacy-printer-service' account was denied by the CISO. The team must implement a secure alternative or upgrade the service to support modern authentication.,ticket,2025-10-08T09:15:00Z,IA-2,A request to bypass multi-factor authentication requirements was reviewed and denied.
121,The web application firewall (WAF) log shows 403 Forbidden responses for 500+ requests from a single IP attempting SQL injection patterns. The source IP was automatically added to the temporary blocklist for 24 hours.,log,2025-10-08T11:30:45Z,SC-7;SI-4,Boundary protection and monitoring detected and blocked application-layer attack attempts.
122,The current configuration of the internal artifact repository allows anonymous read access to all Docker images. This includes images that may contain proprietary code or configuration files meant only for internal authenticated users.,config,2025-10-08T14:20:00Z,AC-6,System configuration permits excessive access by allowing anonymous users to view potentially sensitive artifacts.
123,User 'd.kim' successfully established a remote desktop connection to 'term-srv-02' via the secure gateway. The connection utilized MFA (token + password) and is encrypted using TLS 1.3.,log,2025-10-08T16:55:10Z,AC-17;IA-2,Remote access was successfully established using a secure channel and multi-factor authentication.
124,"Post-incident review for INC-2025-058 completed. The root cause was identified as a missing firewall rule, and the incident response playbook for 'Data Exfiltration' has been updated with new containment steps based on lessons learned.",ticket,2025-10-09T10:00:00Z,IR-5,Incident monitoring procedures were followed to document root cause and update response guides.
125,The guest Wi-Fi network controller is currently configured to use WPA2-Personal with a shared passphrase that has not been changed in over two years. This does not meet the standard for regular rotation of shared secrets.,config,2025-10-09T13:45:00Z,AC-18;IA-5,Wireless access relies on a static shared authenticator that violates rotation policies.
126,File integrity monitoring detected that the '/etc/hosts' file on server 'app-prod-01' was modified by user 'root'. The hash changed from a known good state to an unrecognized value outside of a scheduled change window.,log,2025-10-09T15:20:33Z,SI-7;CM-3,Unapproved modification to a critical system file was detected by integrity monitoring.
127,"Due to a critical business need, user 'l.james' was temporarily granted 'SuperAdmin' rights in the ERP system for 4 hours. A ticket has been created to track this elevated access and ensure revocation occurs at the scheduled time.",ticket,2025-10-10T08:50:00Z,AC-6,Temporary elevation of privileges was granted and tracked to ensure least privilege is restored.
128,"The production database cluster 'db-cl-04' is configured to log only 'critical' level events to the central SIEM. This configuration omits successful logins, privilege changes, and schema modifications that are required for a complete audit trail.",config,2025-10-10T11:15:00Z,AU-2;AU-12,Audit generation configuration is insufficient and does not capture all required auditable events.
129,The SIEM alerted on a 'Impossible Travel' scenario: User 'm.scott' successfully logged in from New York at 10:00 EST and then from London at 11:30 EST. The account has been suspended pending verification with the user.,log,2025-10-10T14:35:12Z,SI-4;AC-2,System monitoring detected anomalous login behavior requiring immediate account suspension.
130,Pipeline build #8842 failed because the embedded SAST scanner identified two critical SQL injection vulnerabilities in the newly committed code. The build cannot proceed to the staging environment until these findings are remediated.,config,2025-10-10T17:00:00Z,SA-11,Developer security testing successfully blocked vulnerable code from progressing in the lifecycle.
131,The quarterly backup restoration drill was completed successfully for the 'customer-db' instance. The data was restored to a test environment and validated by the application team within the 4-hour RTO target.,ticket,2025-10-11T09:30:00Z,CP-9,Information system backups were successfully tested and met the required recovery time objective.
132,A review of the cloud storage account reveals that 15 elastic block store (EBS) volumes listed as 'in-use' are not encrypted. These volumes host active application data and must be migrated to encrypted volumes to comply with policy.,config,2025-10-11T13:45:00Z,SC-28,Information at rest on active storage volumes is currently unencrypted.
133,"Log analysis indicates that the NTP service on three domain controllers was unresponsive for 2 hours last night. During this time, authentication logs from these servers showed timestamps that varied by up to 4 minutes from the actual time.",log,2025-10-12T08:10:20Z,AU-8,Failure of established time sources led to inaccurate timestamps on security-critical logs.
134,"Change CHG-5510 to update the core switch firmware was executed during the maintenance window. The post-change testing confirmed all services restored normal operations, and the new firmware version is accurately reflected in the CMDB.",ticket,2025-10-12T11:25:00Z,CM-3;CM-8,A configuration change was successfully executed verified and updated in the inventory.
135,The default security group for newly created virtual machines allows inbound SSH (TCP 22) from 0.0.0.0/0. This setting is insecure and should be restricted to authorized management subnets only.,config,2025-10-13T09:40:55Z,SC-7;AC-17,Boundary protection is misconfigured allowing potentially unrestricted remote access.
136,The Identity Provider logs show that user 'a.williams' failed MFA challenges 5 times in a row while providing the correct password. The account was locked to prevent potential MFA fatigue attacks.,log,2025-10-13T14:15:30Z,IA-2;AC-7,Repeated failures of the multi-factor authentication mechanism triggered an account lockout.
137,A new rogue device detected by wireless sensors on floor 4 has been physically located and removed. It was a consumer-grade Wi-Fi router plugged into an active ethernet jack under a desk in the finance department.,ticket,2025-10-14T10:30:00Z,AC-18;SI-4,System monitoring identified an unauthorized wireless access point which was subsequently removed.
138,Audit logs for the 'payment-api' container are being written to local ephemeral storage and are lost whenever the container restarts. They must be shipped to standard output or a persistent collector to ensure durability.,config,2025-10-14T12:50:00Z,AU-11;AU-12,Audit record retention is compromised because logs are stored on non-persistent media.
139,Anti-malware real-time protection was manually disabled by a local administrator on host 'research-05'. The central management console marked the host as 'Non-Compliant' and sent an alert to the SOC.,log,2025-10-14T15:22:11Z,SI-3;CM-6,Malicious code protection was disabled by a user causing a deviation from secure configuration.
140,The scheduled vulnerability scan for the PCI segment did not run last night because the scanner appliance lost network connectivity. The scan has been manually rescheduled for tonight at 22:00 UTC.,ticket,2025-10-15T09:05:00Z,RA-5,Vulnerability monitoring was interrupted by a technical failure and has been rescheduled.
141,Anomaly detection noticed a 10x increase in outbound traffic from the 'archive' server to an unknown external IP address. The session was terminated by the firewall after 500MB of data was transmitted.,log,2025-10-15T11:40:33Z,SI-4;SC-7,System monitoring detected anomalous outbound traffic which was then blocked by boundary controls.
142,"Configuration policy for mobile devices currently allows a 6-digit numeric PIN for unlock. To meet the new security standard, this must be updated to require a minimum 8-character alphanumeric passcode.",config,2025-10-15T14:15:00Z,IA-5,Authenticator management policy for mobile devices does not meet current complexity requirements.
