artifact_id,text,evidence_type,timestamp,gold_controls,gold_rationale,auditor_id,predicted_controls,accept_reject,accuracy_value
2010,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T09:30:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1,SC-8;SC-13,accept,1.0
2011,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T09:33:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2,CM-3,accept,0.5
2012,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T09:36:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3,AC-7;AU-6,accept,1.0
2013,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T09:39:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4,SC-28;SC-12,accept,1.0
2014,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T09:42:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5,AU-8,accept,1.0
2015,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T09:45:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1,SC-5;SC-7,accept,1.0
2016,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T09:48:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2,SC-8;SC-13,accept,1.0
2017,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T09:51:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3,CM-3,accept,0.5
2018,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T09:54:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4,AC-7;AU-6,accept,1.0
2019,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T09:57:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5,SC-28;SC-12,accept,1.0
2020,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T10:00:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1,AU-8,accept,1.0
2021,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T10:03:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2,SC-5;SC-7,accept,1.0
2022,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T10:06:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3,SC-8;SC-13,accept,1.0
2023,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T10:09:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4,CM-3,accept,0.5
2024,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T10:12:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5,AC-7;AU-6,accept,1.0
2025,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T10:15:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1,SC-28;SC-12,accept,1.0
2026,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T10:18:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2,AU-8,accept,1.0
2027,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T10:21:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3,SC-5;SC-7,accept,1.0
2028,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T10:24:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4,SC-8;SC-13,accept,1.0
2029,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T10:27:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5,CM-3,accept,0.5
2030,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T10:30:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1,AC-7;AU-6,accept,1.0
2031,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T10:33:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2,SC-28;SC-12,accept,1.0
2032,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T10:36:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3,AU-8,accept,1.0
2033,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T10:39:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4,SC-5;SC-7,accept,1.0
2034,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T10:42:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5,SC-8;SC-13,accept,1.0
2035,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T10:45:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1,CM-3,accept,0.5
2036,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T10:48:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2,AC-7;AU-6,accept,1.0
2037,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T10:51:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3,SC-28;SC-12,accept,1.0
2038,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T10:54:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4,AU-8,accept,1.0
2039,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T10:57:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5,SC-5;SC-7,accept,1.0
2040,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T11:00:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1,SC-8;SC-13,accept,1.0
2041,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T11:03:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2,CM-3,accept,0.5
2042,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T11:06:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3,AC-7;AU-6,accept,1.0
2043,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T11:09:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4,SC-28;SC-12,accept,1.0
2044,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T11:12:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5,AU-8,accept,1.0
2045,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T11:15:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1,SC-5;SC-7,accept,1.0
2046,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T11:18:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2,SC-8;SC-13,accept,1.0
2047,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T11:21:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3,CM-3,accept,0.5
2048,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T11:24:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4,AC-7;AU-6,accept,1.0
2049,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T11:27:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5,SC-28;SC-12,accept,1.0
2050,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T11:30:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1,AU-8,accept,1.0
2051,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T11:33:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2,SC-5;SC-7,accept,1.0
2052,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T11:36:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3,SC-8;SC-13,accept,1.0
2053,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T11:39:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4,CM-3,accept,0.5
2054,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T11:42:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5,AC-7;AU-6,accept,1.0
2055,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T11:45:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1,SC-28;SC-12,accept,1.0
2056,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T11:48:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2,AU-8,accept,1.0
2057,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T11:51:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3,SC-5;SC-7,accept,1.0
2058,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T11:54:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4,SC-8;SC-13,accept,1.0
2059,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T11:57:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5,CM-3,accept,0.5
2060,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T12:00:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1,AC-7;AU-6,accept,1.0
2061,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T12:03:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2,SC-28;SC-12,accept,1.0
2062,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T12:06:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3,AU-8,accept,1.0
2063,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T12:09:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4,SC-5;SC-7,accept,1.0
2064,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T12:12:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5,SC-8;SC-13,accept,1.0
2065,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T12:15:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1,CM-3,accept,0.5
2066,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T12:18:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2,AC-7;AU-6,accept,1.0
2067,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T12:21:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3,SC-28;SC-12,accept,1.0
2068,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T12:24:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4,AU-8,accept,1.0
2069,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T12:27:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5,SC-5;SC-7,accept,1.0
2070,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T12:30:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1,SC-8;SC-13,accept,1.0
2071,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T12:33:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2,CM-3,accept,0.5
2072,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T12:36:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3,AC-7;AU-6,accept,1.0
2073,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T12:39:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4,SC-28;SC-12,accept,1.0
2074,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T12:42:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5,AU-8,accept,1.0
2075,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T12:45:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1,SC-5;SC-7,accept,1.0
2076,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T12:48:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2,SC-8;SC-13,accept,1.0
2077,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T12:51:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3,CM-3,accept,0.5
2078,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T12:54:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4,AC-7;AU-6,accept,1.0
2079,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T12:57:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5,SC-28;SC-12,accept,1.0
2080,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T13:00:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1,AU-8,accept,1.0
2081,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T13:03:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2,SC-5;SC-7,accept,1.0
2082,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T13:06:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3,SC-8;SC-13,accept,1.0
2083,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T13:09:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4,CM-3,accept,0.5
2084,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T13:12:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5,AC-7;AU-6,accept,1.0
2085,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T13:15:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1,SC-28;SC-12,accept,1.0
2086,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T13:18:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2,AU-8,accept,1.0
2087,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T13:21:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3,SC-5;SC-7,accept,1.0
2088,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T13:24:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4,SC-8;SC-13,accept,1.0
2089,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T13:27:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5,CM-3,accept,0.5
2090,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T13:30:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1,AC-7;AU-6,accept,1.0
2091,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T13:33:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2,SC-28;SC-12,accept,1.0
2092,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T13:36:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3,AU-8,accept,1.0
2093,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T13:39:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4,SC-5;SC-7,accept,1.0
2094,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T13:42:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5,SC-8;SC-13,accept,1.0
2095,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T13:45:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1,CM-3,accept,0.5
2096,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T13:48:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2,AC-7;AU-6,accept,1.0
2097,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T13:51:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3,SC-28;SC-12,accept,1.0
2098,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T13:54:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4,AU-8,accept,1.0
2099,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T13:57:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5,SC-5;SC-7,accept,1.0
2100,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T14:00:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1,SC-8;SC-13,accept,1.0
2101,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T14:03:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2,CM-3,accept,0.5
2102,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T14:06:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3,AC-7;AU-6,accept,1.0
2103,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T14:09:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4,SC-28;SC-12,accept,1.0
2104,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T14:12:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5,AU-8,accept,1.0
2105,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T14:15:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1,SC-5;SC-7,accept,1.0
2106,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T14:18:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2,SC-8;SC-13,accept,1.0
2107,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T14:21:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3,CM-3,accept,0.5
2108,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T14:24:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4,AC-7;AU-6,accept,1.0
2109,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T14:27:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5,SC-28;SC-12,accept,1.0
2110,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T14:30:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1,AU-8,accept,1.0
2111,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T14:33:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2,SC-5;SC-7,accept,1.0
2112,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T14:36:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3,SC-8;SC-13,accept,1.0
2113,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T14:39:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4,CM-3,accept,0.5
2114,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T14:42:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5,AC-7;AU-6,accept,1.0
2115,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T14:45:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1,SC-28;SC-12,accept,1.0
2116,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T14:48:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2,AU-8,accept,1.0
2117,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T14:51:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3,SC-5;SC-7,accept,1.0
2118,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T14:54:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4,SC-8;SC-13,accept,1.0
2119,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T14:57:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5,CM-3,accept,0.5
