control_id,family,title,summary,index_text
IA-5,IA,Authenticator Management,"Manage credential lifecycle; complexity, rotation, and revocation.","Authenticator Management. Manage credential lifecycle; complexity, rotation, and revocation.. Common patterns: The wireless access solution is using a weak insecure authenticator.; Authenticator management controls are failing to enforce basic complexity requirements.; Authenticator management controls for a privileged network device account are inadequate.; Transmission confidentiality is weakened by the use of an untrusted authenticator (self-signed certificate).; Configuration drift detected for password policy; non-compliant settings found; monitoring alerted."
IR-4,IR,Incident Handling,"Detect, analyze, contain, and recover from incidents.","Incident Handling. Detect, analyze, contain, and recover from incidents.. Common patterns: Incident response mitigated denial-of-service attack.; Incident handling revealed that a failure in flaw remediation was the root cause of the compromise.; Change deployed outside window causing issues; rollback executed; incident response involved.; Incident handling malicious code protection and backup systems were all involved in this event.; Incident handling delayed by outdated coordination information."
IR-5,IR,Incident Monitoring,"Track, document, and trend incidents and response effectiveness.","Incident Monitoring. Track, document, and trend incidents and response effectiveness.. Common patterns: Incident monitoring has identified a negative trend in response effectiveness.; Incident response training improves team readiness.; Incident monitoring and review has resulted in a recommendation for a new preventative control.; Pod exec implies privileged access monitoring ⇒ AC-6; IR-5.; Incident response training identified gaps; plan tested; performance requires review."
RA-5,RA,Vulnerability Monitoring and Scanning,Perform authenticated scanning and remediation tracking.,Vulnerability Monitoring and Scanning. Perform authenticated scanning and remediation tracking.. Common patterns: Investigation initiated into a failure of the continuous vulnerability monitoring process.; Vulnerability monitoring is not configured with sufficient privileges to perform comprehensive scanning.; Vulnerability scanning and remediation performance degrading.; Vulnerability monitoring (via CSPM) detected a critical boundary protection weakness.; Vulnerability detection and cryptography compliance.
SA-11,SA,Developer Testing and Evaluation,"Require security testing (SAST/DAST), code review, and defect tracking.","Developer Testing and Evaluation. Require security testing (SAST/DAST), code review, and defect tracking.. Common patterns: Developer security testing requirement formally excepted.; Developer security testing has successfully identified and blocked a critical vulnerability.; The process for developer security testing is not automated and is therefore not scalable.; Change control authorization and security testing both missing.; The required developer security testing process has been disabled."
SC-5,SC,Denial-of-Service Protection,"Protect against DoS via rate-limits, autoscaling, and filtering.","Denial-of-Service Protection. Protect against DoS via rate-limits, autoscaling, and filtering.. Common patterns: Incident response mitigated denial-of-service attack.; System monitoring detected a scan which was blocked by boundary controls designed to prevent resource exhaustion.; Denial of service protection worked with user impact.; Denial of service protection mitigated attack.; Burst traffic suggests need for rate-limits ⇒ SC-5."
SC-7,SC,Boundary Protection,Use firewalls/segmentation to monitor and control communications.,Boundary Protection. Use firewalls/segmentation to monitor and control communications.. Common patterns: Network rule cleanup completed; configuration optimized; review process documented.; Boundary protection for outbound traffic is overly permissive increasing the risk of data exfiltration.; Application-layer firewall deployed for common web threats.; Network boundary protection failed to block traffic between zones that should be isolated.; Boundary protection controls for a non-production environment are not correctly configured.
SC-8,SC,Transmission Confidentiality and Integrity,Encrypt data in transit (TLS) with modern ciphers.,Transmission Confidentiality and Integrity. Encrypt data in transit (TLS) with modern ciphers.. Common patterns: Modern encryption protocol enabled for internal service.; Transmission confidentiality is weakened by the use of an untrusted authenticator (self-signed certificate).; A strong; approved cryptographic protocol and cipher are used for data in transit.; Transmission confidentiality and approved crypto both apply.; Lack of DNSSEC configuration compromises the integrity of name resolution for the organization.
SC-12,SC,Cryptographic Key Establishment and Management,"Manage key lifecycles (KMS/HSM), rotation, and separation.","Cryptographic Key Establishment and Management. Manage key lifecycles (KMS/HSM), rotation, and separation.. Common patterns: Encryption at rest policy and key management both need improvement.; Cryptographic key management practices are insecure undermining the protection of data at rest.; Cryptographic key management practices do not account for contingency planning scenarios.; Cryptographic key access policy is too permissive risking unauthorized access to encrypted data.; At-rest encryption and key management are misconfigured."
SC-13,SC,Cryptographic Protection,Use FIPS-validated algorithms and modules.,Cryptographic Protection. Use FIPS-validated algorithms and modules.. Common patterns: The wireless access configuration permits the use of a weak non-compliant cryptographic protocol.; Transport encryption and approved cryptography.; A non-approved; weak cryptographic algorithm is permitted for use in a security function.; Policy enforces secure transport; weak protocols denied; configuration managed centrally.; Vulnerability detection and cryptography compliance.
SC-28,SC,Protection of Information at Rest,Encrypt data at rest; enforce KMS policies and access control.,Protection of Information at Rest. Encrypt data at rest; enforce KMS policies and access control.. Common patterns: Encryption at rest policy and key management both need improvement.; Cryptographic key management practices are insecure undermining the protection of data at rest.; Cloud security baseline deployed; compliance monitored; at-rest encryption enabled.; Cryptographic key access policy is too permissive risking unauthorized access to encrypted data.; The requirement to protect information at rest is not being met for a critical system.
SI-2,SI,Flaw Remediation,"Track patches, apply within policy windows, verify results.","Flaw Remediation. Track patches, apply within policy windows, verify results.. Common patterns: Incident handling revealed that a failure in flaw remediation was the root cause of the compromise.; Critical vulns & scan cadence/remediation gaps ⇒ RA-5; SI-2.; Secure development and vulnerability prevention.; Flaw remediation mostly on schedule with exceptions.; The flaw remediation process is failing to meet the timelines defined in the policy."
SI-3,SI,Malicious Code Protection,Deploy/monitor anti-malware; update signatures and policies.,Malicious Code Protection. Deploy/monitor anti-malware; update signatures and policies.. Common patterns: Malware protection failure increases endpoint vulnerability.; Incident response plan executed for malware containment.; Malicious code protection successfully blocked a threat and initiated an automated incident response action.; Incident handling malicious code protection and backup systems were all involved in this event.; Malware was blocked; system protected; event requires audit review.
SI-4,SI,System Monitoring,Detect anomalous behavior via IDS/EDR/SIEM.,System Monitoring. Detect anomalous behavior via IDS/EDR/SIEM.. Common patterns: Application-layer firewall deployed for common web threats.; File integrity monitoring detected suspicious read access to a critical system file.; System monitoring has detected anomalous behavior indicative of malware propagation.; Malware was blocked; system protected; event requires audit review.; Network traffic logging is disabled in an environment creating a gap in system monitoring.
SI-7,SI,"Software, Firmware, and Information Integrity","Use integrity checks (FIM, checksums) and signed updates.","Software, Firmware, and Information Integrity. Use integrity checks (FIM, checksums) and signed updates.. Common patterns: Software integrity verification detected tampering.; Privileged session monitored; policy violation detected; file integrity alert raised.; Information integrity monitoring is correctly detecting and logging authorized changes.; Software integrity monitoring detected and contained threat.; File integrity monitoring detected suspicious read access to a critical system file."
CP-9,CP,Information System Backup,"Perform, protect, and test backups; ensure restorability.","Information System Backup. Perform, protect, and test backups; ensure restorability.. Common patterns: No organizational information system backup capability is in place for endpoint devices.; Information system backups were successfully tested and met the required recovery time objective.; Incident handling malicious code protection and backup systems were all involved in this event.; The information system backup failed a restorability test; this indicates data may not be recoverable.; Information backup testing revealed integrity issues."
AT-2,AT,Literacy Training and Awareness,Provide security awareness training to all users on policies and threats.,Literacy Training and Awareness. Provide security awareness training to all users on policies and threats.. Common patterns: Security awareness training on password sharing is proving to be ineffective.; Security training completed; phishing simulation analyzed; metrics recorded for review.; Security training completion and phishing simulation metrics.; Security training metrics show good completion rate.; Security training metrics show completion rate.
AT-3,AT,Role-Based Training,Provide role-specific security training for privileged users and developers.,Role-Based Training. Provide role-specific security training for privileged users and developers.. Common patterns: Security training completed; phishing simulation analyzed; metrics recorded for review.; Security training completion and phishing simulation metrics.; Role-based security training is not being provided to users with significant security responsibilities.; Security training metrics show good completion rate.; Security training metrics show completion rate.
AU-11,AU,Audit Record Retention,Retain audit logs for required periods; protect from unauthorized access.,Audit Record Retention. Retain audit logs for required periods; protect from unauthorized access.. Common patterns: Audit record retention and generation policies are violated by an insecure 'overwrite' setting.; The current audit record retention configuration does not meet policy requirements.; Audit retention policy violation requires correction.; Audit retention policy changed without proper authorization.; The configuration for audit record retention does not protect against data loss.
